Compound #,InChI Key,label,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Cortex_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Hippocampus_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Cerrebellum_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Basoganglia_Control,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Cortex_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Hippocampus_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Cerrebellum_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Basoganglia_LowDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Cortex_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Hippocampus_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Cerrebellum_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Basoganglia_MedDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Cortex_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Hippocampus_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Cerrebellum_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO,Basoganglia_HighDMSO
1,ABXDBVMGRKZFRC-VTFQDDHLSA-N,3'-O-Methylinosine,62696,13646,206033,14658,118487,56316,45876,24522,15300,140839,24037,79348,91050,57496,181661,32685,1000,21995,206556,113620,92188,22420,37392,1000,28742,343087,21201,386362,366916,318232,357888,300719,260986,230026,48764,1000,31644,18915,76508,30208,45098,320311,231660,304392,308706,144237,39555,41806,315907,37060,248851,77710,225450,189268,32243,16802,256117,29457,1000,51004,348795,310760,318157,244129,86914,61931,214814,209513,369257,263636,376496,324297,493312,454962,396720,134368,9762,36107,294304,297712
2,AHLPHDHHMVZTML-UHFFFAOYSA-N,Ornithine,2908292,4018627,4073513,3099854,5437482,3562312,3235910,4949338,5519661,5219128,5418864,6099967,5157296,6505484,8189038,5645218,6056230,5609646,5918674,5155491,4068836,4433116,5044624,4089844,5111742,5460918,5783032,7261575,5214390,5285442,7400068,6130198,10590049,10871962,8494855,6337223,5667954,6679436,5739592,6650171,2906100,5375640,3701774,7069305,4850120,3848138,5029818,7384658,4471042,5134193,7217358,6491322,4427257,8161097,6011430,4980562,5693794,5180491,4914803,6203234,3955295,3994726,6881613,5390684,3098199,5290333,6609995,5442408,6635830,3566060,7977045,6440040,12730738,3500125,8712735,6946436,4843586,7906363,7062662,6910444
3,AKCRVYNORCOYQT-UHFFFAOYSA-N,N-Methylvaline,995456,833247,398505,1034877,796356,855838,598028,937658,1390882,768972,1038954,1104571,1019198,802354,1084420,1016355,1102983,1286352,1062700,927620,1066130,1061302,789198,880314,766963,1019295,1022628,1119031,1002796,1611186,873694,1257049,1500152,1921077,1338257,1085694,1504144,1058966,1157310,1205567,1053882,1106763,1199776,1057412,910037,658535,759326,1404170,990769,957208,1091400,1449270,1120468,1464869,1120008,1036120,1385842,1858661,1331703,1687493,975848,1196484,1282678,948326,828880,851310,1135693,641381,1098059,1191262,862508,1173239,1360049,1750184,1309670,1215004,1369139,1208426,1154724,1442044
4,ANSUDRATXSJBLY-VKHMYHEASA-N,L-Serine methyl ester,457239,729830,573519,606257,1046675,488397,369938,1335860,1902432,856320,869258,804913,871146,1478879,1143434,1067609,1061838,825866,1057765,940968,842753,971153,1097282,766576,1123977,1224471,918839,991091,826677,873302,1946998,2862124,1119670,1167316,904848,971955,1086994,984440,1213149,1385593,707607,1517937,948317,1663834,1112762,918427,1136690,1976162,1386170,1430420,1458285,1369543,1100480,2115089,1008766,1149486,877592,1249180,1106140,1366657,1437342,1087679,1451668,1356844,989481,697590,1191258,949855,1458184,1084423,1759996,1130138,1443212,1631544,1921244,1319280,509165,886493,1036161,969072
5,BAWFJGJZGIEFAR-DQQFMEOOSA-N,beta-Nicotinamide adenine dinucleotide,200802,497921,338804,285443,526643,111368,125926,212564,389773,493079,216294,217928,296628,593966,368007,696870,797194,633315,642339,303694,457536,376892,407811,450283,642689,312016,256154,307373,159913,273909,395292,514111,165640,352853,314847,403694,296119,620091,246796,311178,257043,520061,386317,1149912,662747,240287,618687,497995,579259,559879,699892,445919,339702,708882,267206,483338,481575,487853,632044,609426,583271,547268,1103446,441790,553614,234578,883018,516949,463970,209447,1199880,753715,1722551,366902,381257,432620,244720,480443,202441,579406
6,BJHIKXHVCXFQLS-UYFOZJQFSA-N,D-Fructose,1673389,2289438,927766,2468593,2559585,2206534,116877,3481805,3592136,3142013,3196196,2743566,3130476,2967877,3559740,3258162,3054962,2744786,3367809,2787739,1970263,2976206,134117,2118697,2437128,3215468,3009428,4295883,143082,2795821,3394879,3808959,4232018,4905885,4563578,2436890,3684523,3153383,3750878,2805898,2381152,2341218,127863,1969481,1999473,1537296,2881360,3154210,2790976,2665000,119024,3335268,3409993,3425628,4033104,2959607,3376508,2689009,2989676,2771501,2702268,2760853,2892955,2202886,2515004,2419984,3740361,1885073,3032127,2494772,3110121,3244491,3442928,3100937,4262509,3742905,3773800,3312052,2839840,3909900
7,BMLMGCPTLHPWPY-REOHCLBHSA-N,Procysteine,11880,67205,49609,13203,14104,1983,1591,13561,22871,11360,23871,19984,10454,8606,38952,21395,40794,21662,12744,41904,56955,22700,124654,50923,96361,10481,16641,1878,16129,107264,22119,3086,4903,44852,43599,9743,19669,35643,21837,4423,8592,11284,40580,11244,27781,8576,62036,11895,2415,2321,5580,35361,9527,36244,33530,17556,6003,8442,25355,35933,39280,40444,4416,3159,3422,27418,48444,68028,54266,13119,168750,53675,73008,104044,60274,85967,53548,45400,37165,62666
8,BNRXZEPOHPEEAS-UHFFFAOYSA-N,L-Cysteine-glutathione disulfide,317220,505275,334291,313754,219642,195341,197284,279396,456643,390039,289206,324803,100437,207333,347262,133261,407712,352137,194799,740222,913746,594875,330479,238661,459024,284168,1260678,669529,888570,1004473,1035610,1252613,1036967,2829999,333963,355427,683605,244898,221898,471085,189011,600358,679402,2613533,1293925,184276,782516,3885388,232038,1062714,1717941,957396,285019,742281,312413,176545,216556,2960478,1919186,1386723,607830,1378889,3018673,423216,218986,225325,217105,243463,265784,64373,1059436,845159,5628444,671068,331268,516580,97543,117489,95209,258608
9,BPMFZUMJYQTVII-UHFFFAOYSA-N,Guanidinoacetic acid,55836,103635,149494,68335,79877,102662,72489,157888,192313,57361,86393,82958,80451,83115,81302,83553,99175,131652,78590,97257,92914,93160,67908,87412,94342,126704,195085,81708,160919,209282,113615,119214,119301,122413,123594,58356,69862,133600,92569,70779,85277,95284,86372,80424,92875,85331,262724,143659,151351,175800,140226,151802,123916,136753,114159,94688,92777,108531,184295,117141,98278,125707,117328,97487,72519,118053,155032,245645,107816,107724,256104,145290,145480,197064,121917,184138,121284,95952,127452,116956
10,BRGMHAYQAZFZDJ-RTRLPJTCSA-N,N-Acetyl-D-glucosamine 6-phosphate,687548,1090502,1750176,565146,619498,602410,502209,744385,852029,507513,820652,723533,610231,956949,913109,750925,847786,810351,753194,672305,934378,819753,756795,955811,615051,730137,864574,911629,850909,1380414,1167563,1069487,1581575,988873,959941,547035,693257,730726,833886,726942,650122,751301,548815,811379,916808,479719,1805844,1023110,830896,945606,1400691,1357002,648582,1164988,976685,739763,797200,1013447,1327959,754442,843786,1351358,818039,723184,586780,590730,1130772,1561185,1011696,453440,2008961,1313318,1130778,981502,1054803,1102390,772535,729906,727851,829773
